key,English,German
BatteryMD21,"Radio Battery","Radio Battery"
BatteryMD21Desc,"Repair Radio","Radio reparieren"
Radio_Welt_G_0,"Radio ESA","Radio ESA"
Radio_Welt_G_0Desc,"Radio ESA","Radio ESA"
Radio_Welt_G_1,"Radio Noir","Radio Noir"
Radio_Welt_G_1Desc,"Radio Noir","Radio Noir"
Radio_Welt_G_2,"Radio Blutengel","Radio Blutengel"
Radio_Welt_G_2Desc,"Radio Blutengel","Radio Blutengel"
Radio_Welt_G_3,"Radio Cock Robin","Radio Cock Robin"
Radio_Welt_G_3Desc,"Radio Cock Robin","Radio Cock Robin"
Radio_Welt_G_4,"Radio Deep Purple","Radio_Deep Purple"
Radio_Welt_G_4Desc,"Radio Deep Purple","Radio Deep Purple"
Radio_Welt_G_5,"Radio MusicCar","Radio MusicCar"
Radio_Welt_G_5Desc,"Radio MusicCar","Radio MusicCar"
Radio_Welt_G_6,"Radio NDW","Radio NDW"
Radio_Welt_G_6Desc,"Radio NDW","Radio NDW"
Radio_Welt_G_7,"Radio Keller Party","Radio Keller Party"
Radio_Welt_G_7Desc,"Radio Keller Party","Radio Keller Party"
Radio_Welt_G_8,"Radio Fidel","Radio Fidel"
Radio_Welt_G_8Desc,"Radio Fidel","Radio Fidel"
Radio_Welt_G_1BlockVariantHelper,"Radio","Radio"
Radio_Welt_G_1BlockVariantHelperDesc,"Change Music","Musik wechseln"
